start,end,start_ms,end_ms,speaker,text
00:00:03,00:02:52,3746,172742,David Kaufer,"Welcome to the lighter side of the spectrum. The podcast that celebrates the multiple hats we wear and the juggling acts we perform in life. Whether you're parenting kids and teens on the autism spectrum, navigating the ever-evolving healthcare industry, or building a more inclusive and impactful world, this is your space to find connection, inspiration, and growth. Together, we'll share stories, tackle challenges, and explore how innovation and inclusion create better outcomes for everyone. Because no matter the spectrum, there's always a lighter side. Now here's your host. David Coffer. Hello again, everybody. This is David Coffer. Welcome back to the lighter side of the spectrum, where we explore the people, ideas, and stone. Hi. How are you? Good. Happy. Okay, no good. And conversations that help us better understand autism, communication, and what it really means to support human potential. You know, one of the things I've certainly learned over the last few years is that so many of the assumptions that we make about people turn out to be wrong. We've learned that what looks like a lack of understanding may actually be a motor planning challenge. We've also learned that what looks like a behavioral issue may be sensory overload. What appears to be an inability to communicate may simply be a person who hasn't been given the right way to communicate. Today's conversation is going to ask us to consider another assumption. What if vision isn't just about seeing clearly? You know, most of us think of vision as reading, the eye chart at your doctor's office, trying to see if you have 2020 vision. You know, if you're good, you're good to go. But what if your eyes are healthy yet your brain isn't using them together in the way it's meant to be? What if the issue isn't how well you see, but how you see? And that's the fascinating world we're gonna step into today. And my guest today is Denise Allen, host of Healing Our Sight Podcast, and a passionate advocate for helping people better understand binocular vision and the remarkable adaptability of the human brain. Denise spent most of her life with Strabomide Strabimus. I knew I was gonna screw it up. Well help me, Denise. Strabismus. I even practiced it. And without stereoscopic or 3D vision, like many people, she assumed that was simply the way her brain worked. But as an adult, she discovered that our visual system may be far more adaptable than many of us realize."
00:02:34,00:02:34,154210,154742,Barry Prizant,business.
00:02:53,00:03:35,173484,215442,David Kaufer,"And that journey led her into the worlds of vision therapy, neuroplasty, developmental optometry, and neuroscience. Along the way, she's had conversations with leading experts while helping parents, patients, and professionals better understand conditions and related to vision-related challenges. So this isn't about Autism specifically, but we certainly see it within autism. And I think it's really gonna be a fascinating conversation because vision, sensory processing, motor planning, communication, they're all parts of an incredibly complex system. So Denise, with all that being said, thanks for joining me today. I'm really looking forward to this conversation."
00:03:36,00:03:37,216418,217413,Barry Prizant,Thanks for having me.
00:03:38,00:03:47,218336,227058,David Kaufer,Yeah. So why don't you tell us a little bit about your experience? What tell us about what is it like to grow up with this condition?
00:03:49,00:04:17,229112,257718,Barry Prizant,"Well, you know, I didn't know anything different. So I thought I was pretty normal. But I did have struggles with coordination, being very clumsy, not very good at catching or th you know, balls or anything, any moving object coming at me was difficult to gauge where it was and catch it. So I was really bad at ball games. So I was usually chosen last, you know, that kind of thing."
00:04:17,00:04:17,257601,257940,David Kaufer,Right.
00:04:18,00:04:29,258745,269009,Barry Prizant,"that posed a problem, of course. my knees were always scraped up, you know. I fell down. I just thought I was a clumsy kid, you know."
00:04:30,00:04:34,270074,274642,David Kaufer,"Yeah so you just thought you were clumsy, I mean right? Like you hear about that."
00:04:34,00:05:02,274947,302306,Barry Prizant,"So my mom put me in dance class. That was supposed to help. Didn't love it that much. No, it did it did help. And then I actually did gymnastics in junior high, which I shouldn't have probably been able to do very well. I was too tall for it. Wow. But yeah, that that's challenging. It's it doesn't stop someone from doing something that they want to do. My brother, who had the same condition, only his"
00:04:42,00:04:42,282072,282514,David Kaufer,No.
00:05:04,00:05:23,304278,323394,Barry Prizant,"showed up when he was a baby. he became a basketball player. He played college basketball, which also shouldn't really be very easy. But he was passionate about basketball. Wow. So he overcame that. So I think we don't have to discount anything, right? But the thing that I found is that it can be"
00:05:27,00:05:52,327461,352782,David Kaufer,"Stone's very excited today. So again, he's making lots of appearances. He's getting ready to head out with his brother. That's amazing though. I mean, that he was able to play basketball. Because again, why do you I mean we'll back up a little bit and maybe kind of talk about Strabismus. Is that I get better that okay. what is it, you know, and in"
00:05:47,00:05:47,347532,347828,Barry Prizant,Yeah.
00:05:53,00:05:56,353182,356267,David Kaufer,How is it defined and how does it impact people?
00:05:57,00:06:37,357292,397822,Barry Prizant,"Yeah, so strabismus is when the eyes don't focus together. And the easy explanation is just that they're fighting with each other all the time. And i in order to compensate for that, one of the eyes will shut off. And when you look at someone, often that eye is pointing in the another direction. Okay. Because it's getting out of the way of the other eye that's the strong eye. So you'll see. kids with an eye turn, right? Crossed eyes, w however you want to term it, right? It can be turning in or it can be turning out. people will call it a lazy eye."
00:06:38,00:06:42,398518,402473,David Kaufer,"Yeah, you hear you hear about that. Okay, so that's kind of"
00:06:43,00:07:12,403243,432968,Barry Prizant,"And so it it's like five percent of the population that have an actual strabismus like this. The normal population. If you're looking at the autistic spectrum, then it's to totally different. And that's just strabismus. That's not other vision problems like inability to track or other focusing types of issues like that. You know, so my Mine is kind of a subset, but it's a much bigger problem than that."
00:07:14,00:07:40,434826,460268,David Kaufer,"Is this something that we're just like so many other things, we're just learning more about? I mean, is there just is it one that's we're just getting more awareness? Because growing up, I mean, what was like you said, you were just kind of considered maybe a little clumsy or you went in for traditional eye exams, right? Like, you know, was it just what did the eye doctors see or say, you know, and what did it take for you to finally figure it out?"
00:07:41,00:08:02,461036,482220,Barry Prizant,"Yeah, that is a great question. And I and I think that it's always been a problem. I just feel like the fact that we can do something about it hasn't been very obvious. So when I my brother, it was obvious at birth. He went into the doctor, they did surgery on his eyes because it was pointing way in, you know."
00:08:02,00:08:06,482882,486722,David Kaufer,"So it was so obvious that like they're like, Okay, we gotta fix this. I mean"
00:08:06,00:08:35,486418,515212,Barry Prizant,"Exactly. Yeah. And the traditional solution f when you have this kind of an eye turn is the ophthalmologist will say, Well, we're gonna do surgery. They'll do two or three surgeries. It often it takes more than one. My brother had three surgeries. Yeah, two when he was a baby and one when he was like seven to kind of tune it up. So it's kind of a lot of surgery for a young child. It doesn't teach the eyes how to work together though, to have surgery."
00:08:20,00:08:20,500245,500719,David Kaufer,Oh wow.
00:08:35,00:09:07,515616,547629,Barry Prizant,"So even though my brother's eyes were fairly straight, he didn't learn how to see depth. My problem didn't surface until I was almost three. So it's a different type of strabismus. There's infantile like my brother, and then there's c a compensatory type of strabismus. And it usually means that you have either far sighted or nearsightedness and your eyes are not working together and they're compensating. And they put glasses on the child like they did me. And the eyes look pretty straight and the doctor says, Okay, you're good to go."
00:09:09,00:09:12,549136,552241,David Kaufer,Just because just because your eyes are straight. Exactly.
00:09:12,00:09:58,552078,598522,Barry Prizant,"Exactly. And a I remember a as a child going in for my yearly exam and I was about ten and they did this test where you look in the big machine and on one side there's a note and on the other side there's the five lines for the music staff. And they said, Can you tell us what line or space that note's on? And I said, Well, I see the notes over here and I see the lines over here. Do you want me to guess? And I had been guessing until then. Something just clicked and I thought and I was and I was annoyed because we I'd had a traumatic event on the way to the office. And so I think I was pr probably a little more sassy than usual, you know?"
00:09:45,00:10:01,585869,601077,David Kaufer,Really? Yeah. A little edgy. A little edgy ten year old.
00:10:02,00:10:23,602010,623168,Barry Prizant,"And I just said, Do you want me to guess? Because I can't I see 'em on, you know, with each eye. And I'd had never been able to see through binoculars or, you know, the little kaleidoscope thing. The Yeah. I could never do those. and they just said, Oh, you can't do that. We won't do that anymore."
00:10:15,00:10:29,615572,629793,David Kaufer,Oh yeah. Those were fun. Yeah. That was their answer? Yeah. Oh great. That's helpful. Yeah.
00:10:30,00:10:44,630526,644672,Barry Prizant,"And you know, vision therapy has been around that long but nobody knew about it. I didn't know about it until I went f looking for answers as a you know, forty something year old because my eyes were bothering me more at that point."
00:10:46,00:11:14,646230,674994,David Kaufer,"Well, I think there's still a real lack of understanding about vision therapy. yeah, it was something I'd heard about again in our journey with autism ourselves. That's just one of many avenues that you explore when you're dealing with communication. And I remember hearing about we have a place I'm in the Seattle area, and you know, checking out, but that was all new, just the whole idea of doing vision therapy, because again, it's so"
00:10:51,00:10:52,651768,652372,Barry Prizant,Absolutely.
00:11:16,00:11:26,676902,686210,David Kaufer,"yeah, you just think about just you just get eye exams and you get classes. You don't think about this as something another area, although it makes perfect sense once you start looking at it a little more closely."
00:11:27,00:11:56,687064,716076,Barry Prizant,"Right. Yeah. And I didn't start looking until my eye turn started to become really bad in my forties. I started to get presbyopia like a lot of us do at that age, you know. Can't see till you're, you know, have your hand clear out here. And so my eye turn just got worse and I looked at natural vision improvement things and I started searching online and I just by accident"
00:11:44,00:11:45,704993,705472,David Kaufer,Wow.
00:11:56,00:12:11,716538,731546,Barry Prizant,"Not by accident, right. Came across vision therapy, found out there was a doctor just down the street from me. And there were only two in the whole state of Utah at that point. And went in and had an exam and f figured out that there was something we could do."
00:12:12,00:12:29,732536,749041,David Kaufer,"Wow. Well that's I'm glad that you found that. What was it like then? I mean, what and how tell me about that experience as you after you went through started going through the therapy, did you experience like true depth perception for the first time or you know, things like that?"
00:12:29,00:12:58,749652,778826,Barry Prizant,"Well, it wasn't quite that easy. Yeah. No. it was about two thousand thirteen. I started vision therapy, did a lot of sessions of therapy, and I just wasn't getting any solu any resolution at all. I wasn't getting any progress. And my doctor said, you know, you can look at surgery, that could be"
00:12:32,00:12:33,752305,753752,David Kaufer,It wasn't like
00:12:59,00:13:07,779468,787762,Barry Prizant,"What you might want to do in addition, and I didn't want to do surgery, so I stopped vision therapy, took my daughter in, found out that she was mini me and that she"
00:13:08,00:13:13,788353,793352,David Kaufer,"Okay. It's really genetic, it sounds like"
00:13:10,00:14:50,790562,890924,Barry Prizant,"Well, I knew Yeah. It's hard to say. It's yeah, it's hard to say. But I mean I have six children. My youngest daughter was just like me. I knew she was like me because she had an eye turn when she was three, like I did. And I had taken her to the doctor and they put her in glasses. It was just, you know, the same process. And she was fine. She did fine in school. She didn't seem to struggle that much in other things. She didn't seem to be s super clumsy. I had done other things with her when she was very young, like music and movement. I taught music and movement classes. And so there were things that maybe compensated better. I don't know. And I didn't see her doing poorly in school or having any struggles. And I had this passion for sharing the whole thing, you know, because I knew it could help. I hadn't helped me yet, but I knew it could. And so I was reading this book called W if when your ch Sorry When Your Child Struggles by David Cook. And it had a checklist in it of things to ask the child. And I was thinking about it in relationship to c children that I was experiencing at school when I was substitute teaching. But I practice I decided to practice the questions on my daughter. And so I said I said to her, Do the words ever do this when you're reading? And you know, the split apart. And she said yes. And I thought, Oh, that's not good. I had no idea that she was seeing double when she"
00:14:51,00:14:56,891072,896120,David Kaufer,"And how old was she at this point? Remind me. Okay, so about okay. Yeah."
00:14:53,00:15:22,893154,922700,Barry Prizant,"She was nine. Okay. Yeah. So very m starting to be very aware of that. And potentially have problems later on, you know, because reading just the words just keep getting smaller, right? And more difficult. so I said, Well do you ever close an eye when you're reading? That was also on the checklist. And she said, Oh yeah, ev all the time when I'm reading in bed, I s I s I lay with my eye"
00:15:00,00:15:00,900386,900692,David Kaufer,Yeah.
00:15:22,00:15:37,922964,937655,Barry Prizant,"on the pillow so that I'm reading just with the one eye and she said and then I turn over when I turn the page and do it with the other eye. That was helping avoid double vision, right? And I had"
00:15:37,00:15:45,937878,945829,David Kaufer,"She kind of s figured it out. Like she had her own solution. I mean to exactly cope with it was a co it was a coping mechanism, basically."
00:15:45,00:16:43,945534,1003986,Barry Prizant,"Exactly. Yes. And I don't know if she did any of that at school. Sometimes children will, you know, they'll sit with their hand up like this, you know, cover an eye. And just make other compensator compensatory items that will help them to not have that problem. So she was doing all of those things. I had no idea. And I thought I was a pretty aware mom, you know, she was child number six. You know, it I kind of was beating myself up a little bit about it, you know. So I took her into my vision therapy doctor and he got her in vision therapy. It took about nine months of therapy for her and she was able to gain three D. So it was a pretty easy process. It is something for a lot of people that you kinda have to keep doing a little bit of to keep the skill."
00:16:44,00:16:45,1004280,1005999,David Kaufer,Kinda like exercise in a way.
00:16:46,00:17:02,1006190,1022578,Barry Prizant,"A little bit, yeah. So I think she might have lost a little ground. We've talked about that over the years. She's been on my podcast too and told her story. So it she recognizes that there might be some things she could do to kind of strengthen her ability still. in the meantime my daughter"
00:17:02,00:17:03,1022728,1023130,David Kaufer,Yeah.
00:17:04,00:17:25,1024926,1045874,Barry Prizant,"It does. Yeah, it does. And for some people it takes way longer, you know? And there are cases that take less time. But I think nine months is a fairly standard or comfortable amount of time that it will take for people if they're if for kids, you know, kids are much more malle malleable than adults are. So oh"
00:17:25,00:17:27,1045858,1047052,David Kaufer,"Yeah, absolutely."
00:17:28,00:18:08,1048030,1088592,Barry Prizant,"I went back in at the end of that process. My doctor had done some training in and some other kinds of therapy. I went in, I tried those, and still wasn't getting the results I wanted. At this point, I'm like 80 sessions in division therapy. And once again, he said, You probably need to look at the surgery. So He referred me to a doctor that he's worked with. I went in, I had the strabismus surgery. Okay. So that your eyes are lined up instead of crossed."
00:18:09,00:18:28,1089452,1108722,David Kaufer,"Wow. I mean that's a big step. I could see why you know, you would want to avoid it if at all possible. I think anytime for most of us, right, you talk about our eyes or eye surgery is just it's different. It hits different than just saying, Oh, you know, you we gotta do some elbow surgery, for example, or something like that."
00:18:29,00:18:36,1109158,1116130,Barry Prizant,"Well, I mean when you're cutting a muscle, I j I think it's y you tend to hesitate before you're"
00:18:36,00:18:46,1116046,1126734,David Kaufer,It's your eyes. It's your eyes. All right. Like that's very personal to all of us. So but it sounds like it was it sounds like obviously it was a success.
